id,name,location,short_location,nickname,slug,team_color,team_color2,team_color3,team_color4,team_logo_wiki,team_logo_espn,team_wordmark,nfl_id,nfl_abbr,dk_id,dk_abbr,pfr_abbr,pff_id,pff_abbr,fo_abbr
19,Las Vegas Raiders,Las Vegas,Las Vegas,Raiders,las-vegas-raiders,#a5acaf,#000000,#a6aeb0,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/LV.png,2520,LV,341,LV,VEG,23,LV,LV
20,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,#008e97,#f58220,#005778,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/MIA.png,2700,MIA,345,MIA,MIA,17,MIA,MIA
21,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,#4f2683,#ffc62f,#e9bf9b,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/MIN.png,3000,MIN,347,MIN,MIN,18,MIN,MIN
22,New England Patriots,New England,New England,Patriots,new-england-patriots,#002244,#c60c30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/NE.png,3200,NE,348,NE,NWE,19,NE,NE
23,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,#9f8958,#000000,#9f8958,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/NO.png,3300,NO,350,NO,NOR,20,NO,NO
24,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,#0b2265,#a71930,#a5acaf,#012352,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/NYG.png,3410,NYG,351,NYG,NYG,21,NYG,NYG
25,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,#203731,#1c2d25,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/NYJ.png,3430,NYJ,352,NYJ,NYJ,22,NYJ,NYJ
26,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,#004953,#a5acaf,#acc0c6,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/PHI.png,3700,PHI,354,PHI,PHI,24,PHI,PHI
27,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,#000000,#ffb612,#c60c30,#00539b,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/PIT.png,3900,PIT,356,PIT,PIT,25,PIT,PIT
28,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,#002244,#69be28,#a5acaf,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/SEA.png,4600,SEA,361,SEA,SEA,29,SEA,SEA
29,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,#aa0000,#b3995d,#000000,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/SF.png,4500,SF,359,SF,SFO,28,SF,SF
30,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,#d50a0a,#34302b,#000000,#ff7900,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/TB.png,4900,TB,362,TB,TAM,30,TB,TB
31,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,#002244,#4b92db,#c60c30,#a5acaf,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/TEN.png,2100,TEN,336,TEN,OTI,31,TEN,TEN
32,Washington Football Team,Washington,Washington,Football Team,washington-football-team,#773141,#ffb612,#000000,#5b2b2f,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/WAS.png,5110,WAS,363,WAS,WAS,32,WAS,WAS
