id,first_name,last_name,full_name,team,position,status,hashtag,gsis_id,sleeper_id,sportradar_id,stats_id,swish_id,yahoo_id,rotowire_id,rotoworld_id,espn_id,fantasy_data_id
241,Javon,Wims,Javon Wims,ARI,WR,Active,#javonwims-NFL-ARI-84,00-0034426,5111,8f249da2-2528-4f68-8587-4400c924aba4,922039,922039,31194,12627,,4035019,20011
242,Brock,Wright,Brock Wright,DET,TE,Active,#brockwright-NFL-DET-89,,7891,8f182089-7730-499e-8f2e-87bda32debfb,,978120,,15681,,,
243,Kevin,Austin,Kevin Austin,JAX,WR,Active,#kevinaustin-NFL-JAX-80,,8200,3173c5c0-cbb6-11ec-88c8-199e5defa0d2,,1130526,,16026,,,
244,Freddie,Swain,Freddie Swain,MIA,WR,Active,#freddieswain-NFL-MIA-83,,7135,81997ce2-9e70-4014-999a-25ebb405dbf6,,910463,32884,14644,,4034950,21960
245,Dominique,Dafney,Dominique Dafney,DEN,TE,Active,#dominiquedafney-NFL-DEN-84,,7502,921d49c2-64d1-4108-a3a3-0c237e17748a,,976393,33367,15181,,4036129,22477
246,Equanimeous,St. Brown,Equanimeous St. Brown,CHI,WR,Active,#equanimeousstbrown-NFL-CHI-19,00-0034279,5323,0b97067d-9e06-4ec0-97b2-e1cb491e12a6,884601,884601,31177,12560,13145,3932442,20398
247,Ezekiel,Elliott,Ezekiel Elliott,DAL,RB,Active,#ezekielelliott-NFL-DAL-21,00-0033045,3164,bef8b2b4-78bd-4a4d-bb5d-6b55ada9ef6a,728338,728338,29238,10736,11265,3051392,17923
248,Phillip,Lindsay,Phillip Lindsay,IND,RB,Active,#philliplindsay-NFL-IND-30,00-0034109,5170,8322b598-ab65-4b2c-8a54-af37f67a062d,747861,747861,31379,12715,13357,3052117,20128
249,Shi,Smith,Shi Smith,CAR,WR,Active,#shismith-NFL-CAR-12,,7603,1e664071-60d0-47da-94c8-e5c8617e11f6,,1068165,,15226,,,
250,Caleb,Scott,Caleb Scott,TEN,WR,Active,#calebscott-NFL-TEN-83,00-0034243,5223,a3055591-6c57-4ff0-9a2f-5e2547c62820,835860,835860,31464,13064,,3122167,20182
251,Anthony,McFarland,Anthony McFarland,PIT,RB,Active,#anthonymcfarland-NFL-PIT-26,,6878,30487ab2-836d-4e4b-a46a-89e31b414374,,976428,32794,14357,,4241941,21854
252,Velus,Jones,Velus Jones,CHI,WR,Active,#velusjones-NFL-CHI-12,,8223,318b263d-8910-4e46-afe3-5860092ab260,,919304,,15846,,,
253,Jimmy,Garoppolo,Jimmy Garoppolo,SF,QB,Active,#jimmygaroppolo-NFL-SF-10,00-0031345,1837,42de9d1d-0352-460b-9172-9452414fd7fd,555358,555358,27590,9320,9360,16760,16041
254,Simi,Fehoko,Simi Fehoko,DAL,WR,Active,#simifehoko-NFL-DAL-81,,7812,3860693c-99a2-4484-99db-1d43e3ff7fd4,,1123496,,15559,,,
255,Jalen,Reagor,Jalen Reagor,MIN,WR,Active,#jalenreagor-NFL-MIN-5,,6798,06ff7f42-5fe7-4899-84a5-9ba5349d17e8,,976066,32691,14421,,4241802,21686
256,Jared,Bernhardt,Jared Bernhardt,ATL,WR,Active,#jaredbernhardt-NFL-ATL-83,,8663,dcdfde40-cc7d-11ec-8d55-87af3a9174bd,,1384962,,16489,,,
257,Cam,Akers,Cam Akers,LAR,RB,Active,#camakers-NFL-LAR-3,,6938,74980532-8158-4b56-91db-5053878737b4,,976251,32722,14383,,4240021,21688
258,Julio,Jones,Julio Jones,TB,WR,Active,#juliojones-NFL-TB-6,00-0027944,947,0b3217b9-ba37-4222-95cb-a7a222441e8b,456614,456614,24793,7242,6475,13982,13291
259,Justyn,Ross,Justyn Ross,KC,WR,Inactive,#justynross-NFL-KC-8,,8140,cce91700-ce0c-11ec-8f7c-f5226825ea6a,,1110725,,15910,,,
260,Michael,Bandy,Michael Bandy,LAC,WR,Active,#michaelbandy-NFL-LAC-83,,8076,ec7af934-a7f3-40f5-9fc0-210022dd6180,,920482,,15786,,,
261,Pharoh,Cooper,Pharoh Cooper,NYG,WR,Active,#pharohcooper-NFL-NYG-83,00-0033111,3278,4f724338-aa8c-436d-90b2-45299572c53e,744595,744595,29351,10823,11281,3048897,18039
262,Kevin,White,Kevin White,NO,WR,Active,#kevinwhite-NFL-NO-17,00-0031545,2312,5b496c58-83ef-4763-b1e0-5f052af46b3e,728038,728038,28395,10151,10427,3042435,16768
263,Tyler,Huntley,Tyler Huntley,BAL,QB,Active,#tylerhuntley-NFL-BAL-2,,7083,7c226f73-a59f-4db6-ad98-2766d05d4d5a,,913163,32993,14563,,4035671,21810
264,Ronald,Jones,Ronald Jones,KC,RB,Active,#ronaldjones-NFL-KC-2,00-0034816,5052,15965c39-17be-4338-911a-8f337f48a3ce,880033,880033,31008,12566,13061,3912550,19861
265,J.P.,Holtz,J.P. Holtz,NO,TE,Active,#jpholtz-NFL-NO-88,00-0032986,3695,8d3ac8d8-e18f-4485-acc6-55c79adcc2a8,692334,692334,29666,11364,,2970262,18498
266,Al,Riles,Al Riles,IND,WR,Active,#alriles-NFL-IND-3,,4937,,,,30839,,,2980808,19595
267,John,FitzPatrick,John FitzPatrick,ATL,TE,Inactive,#johnfitzpatrick-NFL-ATL-87,,8500,b221f4da-3c7c-4f51-b3f0-d2c68d5d9369,,1131017,,16170,,,
268,Jonathan,Taylor,Jonathan Taylor,IND,RB,Inactive,#jonathantaylor-NFL-IND-28,,6813,925195a4-06ba-4e37-ae7d-a3d6a5419139,,1065406,32711,14455,,4242335,21682
269,Charlie,Woerner,Charlie Woerner,SF,TE,Active,#charliewoerner-NFL-SF-89,,7075,527dfee0-a242-4dc7-830a-ab7028308259,,922040,32860,14608,,4035020,22119
270,Chase,Claypool,Chase Claypool,PIT,WR,Active,#chaseclaypool-NFL-PIT-11,,6886,53ed110c-f022-4759-afd3-1cd3436dbba7,,946094,32719,14433,,4046692,21752
271,Lamar,Jackson,Lamar Jackson,BAL,QB,Active,#lamarjackson-NFL-BAL-8,00-0034796,4881,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,877745,877745,31002,12561,13059,3916387,19781
272,O.J.,Howard,O.J. Howard,HOU,TE,Active,#ojhoward-NFL-HOU-83,00-0033879,4055,93ed8c6f-b676-46d3-bf82-6155e89b4a68,732147,732147,30132,11806,12161,3043080,18901
273,C.J.,Uzomah,C.J. Uzomah,NYJ,TE,Active,#cjuzomah-NFL-NYJ-87,00-0032134,2460,19858900-5c8e-49a7-ab02-34ef625724ca,593305,593305,28545,10462,10534,2574576,16917
274,DJ,Turner,DJ Turner,LV,WR,Inactive,#djturner-NFL-LV-19,,7989,1624b5cf-0032-4093-af56-e4dea4f64149,,923814,,15533,,,
275,Chase,Edmonds,Chase Edmonds,MIA,RB,Active,#chaseedmonds-NFL-MIA-2,00-0034681,5000,d8d9b161-7ef4-42bf-89b7-7edf806a0ad1,832900,832900,31104,12667,13255,3119195,19919
276,Isaiah,Spiller,Isaiah Spiller,LAC,RB,Active,#isaiahspiller-NFL-LAC-28,,8153,c77e2eb3-ae90-4819-afb1-c6f88e558717,,1180332,,15908,,,
